# name,mass,radius,orbital_period,temp_calculated,star_name,star_distance,star_metallicity,star_mass,star_radius,star_age,star_teff,log_g
Kepler-10 b,0.0145,0.132,0.837491,2130,Kepler-10,186.5,-0.15,0.91,1.06,10.6,5708,
Kepler-10 c,0.02319,0.2097,45.2946,584,Kepler-10,186.5,-0.15,0.91,1.06,10.6,5708,
Kepler-100 b,0.023,0.118,6.88705,,Kepler-100,307.34,0.02,1.08,1.49,6.46,5825,
Kepler-100 c,0.02218,0.196,12.8159,,Kepler-100,307.34,0.02,1.08,1.49,6.46,5825,
Kepler-100 d,0.00944,0.144,35.3331,,Kepler-100,307.34,0.02,1.08,1.49,6.46,5825,
Kepler-1000 b,,0.425,120.0181272,,Kepler-1000,925,0.35,1.4,1.51,1.26,6453,
Kepler-1001 b,,0.281,14.30511983,,Kepler-1001,1009,-0.03,0.9,0.88,4.68,5491,
Kepler-1001 c,,0.141,9.18186,,Kepler-1001,1009,-0.03,0.9,0.88,4.68,5491,
Kepler-1002 b,,0.153,4.33642933,,Kepler-1002,425,0.04,1.22,1.57,4.07,6144,
Kepler-1003 b,,0.159,3.55485691,,Kepler-1003,873,0.01,1.11,1.17,3.16,6109,
Kepler-1004 b,,0.56,5.28789787,,Kepler-1004,1080,-0.04,1.11,3.39,7.76,4972,
Kepler-1005 b,,0.134,6.49801525,,Kepler-1005,515,0.02,1,1.06,6.17,5782,
Kepler-1006 b,,0.137,19.76172042,,Kepler-1006,496,-0.4,0.78,0.74,4.27,5328,
Kepler-1007 b,,0.128,5.18500207,,Kepler-1007,365,0.03,0.73,0.7,4.17,4587,
Kepler-1008 b,,0.114,12.43931193,,Kepler-1008,299,-0.01,0.81,0.78,6.76,5066,
Kepler-1009 b,,0.194,11.35011917,,Kepler-1009,281,-0.12,0.59,0.57,3.16,4027,
Kepler-101 b,0.16,0.51,3.4876812,1513,Kepler-101,953.44,0.33,1.17,1.56,5.9,5667,
Kepler-101 c,0.01,0.112,6.02976,1413,Kepler-101,953.44,0.33,1.17,1.56,5.9,5667,
Kepler-1010 b,,0.207,34.2685705,,Kepler-1010,610,-0.01,0.86,0.82,4.79,5253,
Kepler-1011 b,,0.256,5.75322197,,Kepler-1011,860,0.08,0.91,0.88,4.47,5416,
Kepler-1012 b,,0.115,5.50860439,,Kepler-1012,420,0.05,0.95,0.91,3.72,5556,
Kepler-1013 b,,0.192,18.93054959,,Kepler-1013,433,0.04,0.81,0.76,4.27,4954,
Kepler-1014 b,,0.213,16.57110363,,Kepler-1014,672,-0.06,0.88,0.84,4.79,5388,
Kepler-1015 b,,0.317,16.00494214,,Kepler-1015,932,0.06,1.49,1.81,1.58,6769,
Kepler-1016 b,,0.194,1.95452434,,Kepler-1016,1239,-0.03,0.99,1,3.89,5821,
Kepler-1016 c,,0.328,105.6551369,,Kepler-1016,1239,-0.03,0.99,1,3.89,5821,
Kepler-1017 b,,0.178,7.23400469,,Kepler-1017,554,0.04,0.93,0.87,2.95,5473,
Kepler-1018 b,,0.23,49.1013514,,Kepler-1018,894,-0.05,0.91,0.88,4.47,5518,
Kepler-1019 b,,0.13,1.41122985,,Kepler-1019,198,0.01,0.7,0.67,3.55,4433,
Kepler-102 b,0.01353,0.042,5.28696,792,Kepler-102,108.13,0.18,0.81,0.76,1.41,4909,
Kepler-102 c,0.00944,0.052,7.07142,718,Kepler-102,108.13,0.18,0.81,0.76,1.41,4909,
Kepler-102 d,0.012,0.105,10.3117,,Kepler-102,108.13,0.18,0.81,0.76,1.41,4909,
Kepler-102 e,0.028,0.198,16.1457,579,Kepler-102,108.13,0.18,0.81,0.76,1.41,4909,
Kepler-102 f,0.01636,0.079,27.4536,457,Kepler-102,108.13,0.18,0.81,0.76,1.41,4909,
Kepler-1020 b,,0.203,96.9151496,,Kepler-1020,446,0,0.87,0.8,3.63,5227,
